date,price
10/17/22,5.847
10/10/22,6.156
10/3/22,6.213
9/26/22,5.615
9/19/22,5.239
9/12/22,5.182
9/5/22,5.053
8/29/22,5.061
8/22/22,5.146
8/15/22,5.218
8/8/22,5.298
8/1/22,5.472
7/25/22,5.573
7/18/22,5.708
7/11/22,5.903
7/4/22,6.042
6/27/22,6.138
6/20/22,6.216
6/13/22,6.271
6/6/22,6.178
5/30/22,5.993
5/23/22,5.904
5/16/22,5.793
5/9/22,5.654
5/2/22,5.526
4/25/22,5.514
4/18/22,5.545
4/11/22,5.619
4/4/22,5.714
3/28/22,5.764
3/21/22,5.71
3/14/22,5.587
3/7/22,5.187
2/28/22,4.671
2/21/22,4.57
2/14/22,4.524
2/7/22,4.507
1/31/22,4.488
1/24/22,4.486
1/17/22,4.497
1/10/22,4.503
1/3/22,4.501
12/27/21,4.485
12/20/21,4.503
12/13/21,4.513
12/6/21,4.53
11/29/21,4.554
11/22/21,4.551
11/15/21,4.532
11/8/21,4.473
11/1/21,4.439
10/25/21,4.393
10/18/21,4.339
10/11/21,4.268
10/4/21,4.241
9/27/21,4.217
9/20/21,4.217
9/13/21,4.225
9/6/21,4.227
8/30/21,4.226
8/23/21,4.232
8/16/21,4.256
8/9/21,4.234
8/2/21,4.213
7/26/21,4.174
7/19/21,4.179
7/12/21,4.165
7/5/21,4.141
6/28/21,4.126
6/21/21,4.087
6/14/21,4.086
6/7/21,4.078
5/31/21,4.057
5/24/21,4.014
5/17/21,3.981
5/10/21,3.952
5/3/21,3.906
4/26/21,3.862
4/19/21,3.835
4/12/21,3.803
4/5/21,3.787
3/29/21,3.77
3/22/21,3.76
3/15/21,3.731
3/8/21,3.638
3/1/21,3.563
2/22/21,3.451
2/15/21,3.35
2/8/21,3.316
2/1/21,3.272
1/25/21,3.245
1/18/21,3.213
1/11/21,3.145
1/4/21,3.1
12/28/20,3.085
12/21/20,3.06
12/14/20,3.04
12/7/20,3.041
11/30/20,3.032
11/23/20,3.025
11/16/20,3.027
11/9/20,3.029
11/2/20,3.033
10/26/20,3.051
10/19/20,3.047
10/12/20,3.049
10/5/20,3.061
9/28/20,3.069
9/21/20,3.086
9/14/20,3.102
9/7/20,3.106
8/31/20,3.1
8/24/20,3.092
8/17/20,3.067
8/10/20,3.054
8/3/20,3.058
7/27/20,3.049
7/20/20,3.031
7/13/20,3.022
7/6/20,2.981
6/29/20,2.963
6/22/20,2.939
6/15/20,2.891
6/8/20,2.855
6/1/20,2.798
5/25/20,2.766
5/18/20,2.688
5/11/20,2.65
5/4/20,2.635
4/27/20,2.652
4/20/20,2.7
4/13/20,2.751
4/6/20,2.872
3/30/20,2.953
3/23/20,3.066
3/16/20,3.222
3/9/20,3.325
3/2/20,3.353
2/24/20,3.36
2/17/20,3.358
2/10/20,3.366
2/3/20,3.371
1/27/20,3.388
